id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,1,1,1,Gruene,NA,1,14.053,4.479,2.748,26
ft,Toncar,Florian Toncar,0,2,1979,1,1,2,FDP,1,3,8.598,3.070,4.477,99
rss,Schwarzeluehr-Suetter,Rita Schwarzeluehr-Suetter,0,1,1962,1,2,3,SPD,2,2,4.253,1.533,2.943,NA
tl,Lindner,Tobias Lindner,0,2,1982,2,1,3,Gruene,NA,0,10.553,3.608,4.920,NA
bs,Strasser,Benjamin Strasser,0,2,1987,1,3,2,FDP,2,0,5.814,3.933,3.368,288
co,Oezdemir,Cem Oezdemir,0,2,1965,3,4,4,Gruene,3,2,317.677,105.832,162.565,NA
mat,Theurer,Michael A. Theurer,0,2,1967,1,4,5,FDP,1,2,8.482,3.745,27.914,NA
ck,Kuehn,Chris Kuehn,0,2,1979,1,5,1,Gruene,1,3,4.829,1.663,100,35
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,1,1,FDP,NA,0,5.409,3.331,NA,NA
UntersA drei,UnterssuchungsA drei,3. Untersuchungsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVSEEP GmbH,AVSEEP GmbH,Agora Verkehrswende Smart Energy for Europe Plattform gemeinnuetzige GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALUni,ALUni Freiburg,Albert-Ludwigs-Universitaet Freiburg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AeltRat,Aeltestenrat,Aeltestenrat,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJC eV,AJC eV,American Jewish Committee e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,Amnesty,Amnesty International,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASS GmbH,ASS GmbH,AnwaltService Stuttgart GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
