id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,1,1,1,Gruene,,1,14.053,4.479,2.748,26
ft,Toncar,Florian Toncar,0,2,1979,1,1,2,FDP,1,3,8.598,3.070,4.477,99
rss,Schwarzeluehr-Suetter,Rita Schwarzeluehr-Suetter,0,1,1962,1,2,3,SPD,2,2,4.253,1.533,2.943,
tl,Lindner,Tobias Lindner,0,2,1982,2,1,3,Gruene,,0,10.553,3.608,4.920,
bs,Strasser,Benjamin Strasser,0,2,1987,1,3,2,FDP,2,0,5.814,3.933,3.368,288
co,Oezdemir,Cem Oezdemir,0,2,1965,3,4,4,Gruene,3,2,317.677,105.832,162.565,
mat,Theurer,Michael A. Theurer,0,2,1967,1,4,5,FDP,1,2,8.482,3.745,27.914,
ck,Kuehn,Chris Kuehn,0,2,1979,1,5,1,Gruene,1,3,4.829,1.663,100,35
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,1,1,FDP,,0,5.409,3.331,,
UntersA drei,UnterssuchungsA drei,3. Untersuchungsausschuss,1,,,,,,,,,,,,
AVSEEP GmbH,AVSEEP GmbH,Agora Verkehrswende Smart Energy for Europe Plattform gemeinnuetzige GmbH,1,,,,,,,,,,,,
ALUni,ALUni Freiburg,Albert-Ludwigs-Universitaet Freiburg,1,,,,,,,,,,,,
AeltRat,Aeltestenrat,Aeltestenrat,1,,,,,,,,,,,,
AJC eV,AJC eV,American Jewish Committee e.V.,1,,,,,,,,,,,,
AI,Amnesty,Amnesty International,1,,,,,,,,,,,,
ASS GmbH,ASS GmbH,AnwaltService Stuttgart GmbH,1,,,,,,,,,,,,
AiF,AiF,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,,,,,,,,,,,,
ASFKW,ASFKW,Arbeitsgemeinschaft Sozialdemokratischer Frauen Kreisverband Waldshut,1,,,,,,,,,,,,
AI eV,AI eV,Atlantische Initiative e.V.,1,,,,,,,,,,,,
AfBWSK,AfBWSK,"Ausschuss fuer Bau, Wohnen, Stadtentwicklung und Kommunen",1,,,,,,,,,,,,
AfBFT,AfBFT,"Ausschuss fuer Bildung, Forschung und Technikfolgenabschaetzung",1,,,,,,,,,,,,
AfAdEU,AfAdEU,Ausschuss fuer die Angelegenheiten der Europaeischen Union,1,,,,,,,,,,,,
AfFSFJ,AfFSFJ,"Ausschuss fuer Familie, Senioren, Frauen und Jugend",1,,,,,,,,,,,,
AfIH,AfIH,Ausschuss fuer Inneres und Heimat,1,,,,,,,,,,,,
AfKM,AfKM,Ausschuss fuer Kultur und Medien,1,,,,,,,,,,,,
AfRV,AfRV,Ausschuss fuer Recht und Verbraucherschutz,1,,,,,,,,,,,,
AfUNnS,AfUNnS,"Ausschuss fuer Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
AfVdI,AfVdI,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
AfWIG,AfWIG,"Ausschuss fuer Wahlpruefung, Immunitaet und Geschaeftsordnung",1,,,,,,,,,,,,
AA,Auswaertiger Ausschuss,Auswaertiger Ausschuss,1,,,,,,,,,,,,
AAmt,Auswaertiges Amt,Auswaertiges Amt,1,,,,,,,,,,,,
AvantiEU eV,AvantiEU eV,Avanti Europe e.V.,1,,,,,,,,,,,,
Astudi eV,Astudi eV,Avicenna-Studienwerk e.V.,1,,,,,,,,,,,,
BertelS,BertelS,Bertelsmann Stiftung,1,,,,,,,,,,,,
BfI,BfI,Bundesanstalt fuer Immobilienaufgaben,1,,,,,,,,,,,,
BdF,BdF,Bundesministerium der Finanzen,1,,,,,,,,,,,,
BdJ,BdJ,Bundesministerium der Justiz,1,,,,,,,,,,,,
BfBF,BfBF,Bundesministerium fuer Bildung und Forschung,1,,,,,,,,,,,,
BfEL,BfEL,Bundesministerium fuer Ernaehrung und Landwirtschaft,1,,,,,,,,,,,,
BfUNnSV,BfUNnSV,"Bundesministerium fuer Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",1,,,,,,,,,,,,
BfWK,BfWK,Bundesministerium fuer Wirtschaft und Klimaschutz,1,,,,,,,,,,,,
BsB,Bundesstiftung Baukultur,Bundesstiftung Baukultur,1,,,,,,,,,,,,
BsMH,BsMH,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
BsMK,BsMK,Bundesstiftung Mutter und Kind-Schutz des ungeborenen Lebens,1,,,,,,,,,,,,
BVMW eV,BVMW eV,Bundesverband mittelstaendische Wirtschaft e.V.,1,,,,,,,,,,,,
Camb Uni,Cambridge University,Cambridge University,1,,,,,,,,,,,,
Colum Uni,Columbia University,Columbia University,1,,,,,,,,,,,,
DPZ eV,DPZ eV,Das Progressive Zentrum e.V.,1,,,,,,,,,,,,
DFA,DFA,Deutsch-Franzoesische Arbeitsgruppe zum Elysee-Vertrag,1,,,,,,,,,,,,
DFPV,DFPV,Deutsch-Franzoesische Parlamentarische Versammlung,1,,,,,,,,,,,,
DFI eV,DFI eV,Deutsch-Franzoesisches Institut e.V.,1,,,,,,,,,,,,
DGF eV,DGF eV,"Deutsch-Georgisches Forum fuer Politik, Wirtschaft und Kultur e.V.",1,,,,,,,,,,,,
DKP,DKP,Deutsch-Kanadische Parlamentariergruppe,1,,,,,,,,,,,,
DTF eV,DTF eV,Deutsch-Tuerkisches Forum Stuttgart e.V.,1,,,,,,,,,,,,
DAidsS,DAidsS,Deutsche AIDS-Stiftung,1,,,,,,,,,,,,
DBU,DBU,Deutsche Bundesstiftung Umwelt,1,,,,,,,,,,,,
DI eV,DI eV,Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,,,,,,,,,,,,
DENEFF,DENEFF,Deutsche Unternehmensinitiative Energieeffizienz e.V.,1,,,,,,,,,,,,
DSW eV,Deutsches Studentenwerk e.V.,Deutsches Studentenwerk e.V.,1,,,,,,,,,,,,
DSI,DSI,Deutschlandstiftung Integration gemeinnuetzige GmbH,1,,,,,,,,,,,,
DHBW,DHBW,Duale Hochschule Baden-Wuerttemberg Loerrach,1,,,,,,,,,,,,
EKUni Tueb,EKUni Tueb,Eberhard Karls Universitaet Tuebingen,1,,,,,,,,,,,,
EKBB,EKBB,Enquete-Kommission Berufliche Bildung,1,,,,,,,,,,,,
EOW eG,EOW eG,Erste Ostfriesesche Winzergenossenschaft eG,1,,,,,,,,,,,,
EBD eV,EBD eV,Europaeische Bewegung Deutschland e.V.,1,,,,,,,,,,,,
EP,Europaeisches Parlament,Europaeisches Parlament,1,,,,,,,,,,,,
ECFR,European Council on Foreign Relations,European Council on Foreign Relations,1,,,,,,,,,,,,
EPC,European Policy Centre,European Policy Centre,1,,,,,,,,,,,,
EVfEE eV,EUROSOLAR eV,EUROSOLAR - Europaeische Vereinigung fuer Erneuerbare Energien e.V.,1,,,,,,,,,,,,
EvFfS Reut,EvFfS Reut,Evangelische Fachhochschule fuer Sozialwesen Reutlingen,1,,,,,,,,,,,,
FCVfINF eV,FCVfINF eV,FC Play Fair Verein fuer Integritaet und Nachhaltigkeit im Fussball e.V.,1,,,,,,,,,,,,
FDP BW,FDP Baden-Wuerttemberg,FDP Baden-Wuerttemberg,1,,,,,,,,,,,,
FDPBevS,FDP-Bezirksvorstand Region Stuttgart,FDP-Bezirksvorstand Region Stuttgart,1,,,,,,,,,,,,
FDBBf,FDP-Bundestagsfraktion,FDP-Bundestagsfraktion,1,,,,,,,,,,,,
FDPBv,FDP-Bundesvorstand,FDP-Bundesvorstand,1,,,,,,,,,,,,
FDPKf Freud,FDP-Kreistagsfraktion Freudenstadt,FDP-Kreistagsfraktion Freudenstadt,1,,,,,,,,,,,,
FDPKv Boeb,FDP-Kreisverband Boeblingen,FDP-Kreisverband Boeblingen,1,,,,,,,,,,,,
FDPDVLf,FDP/ DVP-Landtagsfraktion,FDP/ DVP-Landtagsfraktion,1,,,,,,,,,,,,
FA,Finanzausschuss,Finanzausschuss,1,,,,,,,,,,,,
FG,Finanzmarktgremium,Finanzmarktgremium,1,,,,,,,,,,,,
FBD,Freshfields Bruckhaus Deringer LLP,Freshfields Bruckhaus Deringer LLP,1,,,,,,,,,,,,
FGHD eV,FGHD eV,Freundeskreis Givat Haviva Deutschland e.V.,1,,,,,,,,,,,,
FNS,FNS,Friedrich-Naumann-Stiftung fuer die Freiheit,1,,,,,,,,,,,,
FofEU,Friends of Europe,Friends of Europe,1,,,,,,,,,,,,
GVfD eV,GVfD eV,Gegen Vergessen fuer Demokratie e.V.,1,,,,,,,,,,,,
GeB,Gemeinde Berg,Gemeinde Berg,1,,,,,,,,,,,,
GeHaN,Gemeinde Horb am Neckar,Gemeinde Horb am Neckar,1,,,,,,,,,,,,
GeL,Gemeinde Lauchringen,Gemeinde Lauchringen,1,,,,,,,,,,,,
GA,Gemeinsamer Ausschuss,Gemeinsamer Ausschuss,1,,,,,,,,,,,,
GMFUS,German Marshall Fund of the US,German Marshall Fund of the US,1,,,,,,,,,,,,
GEUD eV,GEUD eV,Germersheim Europa-Union Deutschland e.V.,1,,,,,,,,,,,,
GfAR GmbH,GfAR GmbH,Gesellschaft fuer Anlagen- und Reaktorsicherheit GmbH,1,,,,,,,,,,,,
GSsF eV,GSsF eV,Gesellschaft zum Studium strukturpolitischer Fragen e.V.,1,,,,,,,,,,,,
Gruene BW,Gruene Baden-Wuerttemberg,Gruene Baden-Wuerttemberg,1,,,,,,,,,,,,
GrJu,Gruene Jugend,Gruene Jugend,1,,,,,,,,,,,,
GrJu BW,Gruene Jugend Baden-Wuerttemberg,Gruene Jugend Baden-Wuerttemberg,1,,,,,,,,,,,,
HKA,Haushalts-Kontrollausschuss,Haushalts-Kontrollausschuss,1,,,,,,,,,,,,
HA,Haushaltsausschuss,Haushaltsausschuss,1,,,,,,,,,,,,
HBS eV,Heinrich-Boell-Stiftung e.V.,Heinrich-Boell-Stiftung e.V.,1,,,,,,,,,,,,
Hd eV,Hospizdienst e.V.,Hospizdienst e.V.,1,,,,,,,,,,,,
HiA eV,Humanity in Action e.V.,Humanity in Action e.V.,1,,,,,,,,,,,,
IfKJ eV,IfKJ eV,Ich kann was - Initiative fuer Kinder und Jugendliche e.V.,1,,,,,,,,,,,,
IEPP,Institut d'Etudes Politiques Paris,Institut d'Etudes Politiques Paris,1,,,,,,,,,,,,
IEP,Institut fuer Europaeische Politik e.V.,Institut fuer Europaeische Politik e.V.,1,,,,,,,,,,,,
IfM,IfM,Institut fuer Mobilitaet der Universitaet St. Gallen,1,,,,,,,,,,,,
IfFFSE,IfFFSE,Institute for Freedom of Faith & Security in Europe,1,,,,,,,,,,,,
JDC,Jacques Delors Centre,Jacques Delors Centre,1,,,,,,,,,,,,
JuLi BW,Junge Liberalen Baden-Wuerttemberg,Junge Liberalen Baden-Wuerttemberg,1,,,,,,,,,,,,
KIT,Karlsruher Institut fuer Technologie,Karlsruher Institut fuer Technologie,1,,,,,,,,,,,,
KAL BW,KAL BW,Koalitionsausschuss Landesregierung Baden-Wuerttemberg,1,,,,,,,,,,,,
KfW,Kreditanstalt fuer Wiederaufbau,Kreditanstalt fuer Wiederaufbau,1,,,,,,,,,,,,
KL Boeb,Kreisrat Landkreis Boeblingen,Kreisrat Landkreis Boeblingen,1,,,,,,,,,,,,
Kl Wald,Kreistag Landkreis Waldshut,Kreistag Landkreis Waldshut,1,,,,,,,,,,,,
Kv Germ,Kreisverband Germersheim,Kreisverband Germersheim,1,,,,,,,,,,,,
KvGrue Tueb,KvGrue Tueb,Kreisvorstand BUENDNIS 90/Die Gruenen Tuebingen,1,,,,,,,,,,,,
LFAFDP BW,LFAFDP BW,Landesfachausschusses Innen und Recht der FDP Baden-Wuerttemberg,1,,,,,,,,,,,,
Lv SWGrue,Lv SWGrue,Landesvorsitz der Suedwest-Gruenen,1,,,,,,,,,,,,
LvGrue BW,LvGrue BW,Landesvorstand BUENDNIS 90/Die Gruenen Baden-Wuerttemberg,1,,,,,,,,,,,,
LvGrueJu RP,LvGrueJu RP,Landesvorstand der Gruenen Jugend Rheinlandpfalz,1,,,,,,,,,,,,
LvJuLi BW,LvJuLi BW,Landesvorstand der Jungen Liberalen Baden-Wuerttemberg,1,,,,,,,,,,,,
LvSPD BW,LvSPD BW,Landesvorstand der SPD Baden-Wuerttemberg,1,,,,,,,,,,,,
LvFDP,Landesvorstand FDP,Landesvorstand FDP,1,,,,,,,,,,,,
LgS,Landgericht Stuttgart,Landgericht Stuttgart,1,,,,,,,,,,,,
Lk Raven,Landkreis Ravensburg,Landkreis Ravensburg,1,,,,,,,,,,,,
Lt BW,Landtag Baden-Wuerttemberg,Landtag Baden-Wuerttemberg,1,,,,,,,,,,,,
LiSL eV,LiSL eV,Liberale Schwule und Lesben Deutschland e.V.,1,,,,,,,,,,,,
LHSLR,LHSLR,Lutherian High School Little Rock,1,,,,,,,,,,,,
PVNATO,PVNATO,Parlamentarische Versammlung NATO,1,,,,,,,,,,,,
PBCovid,PBCovid,Parlamentarisches Begleitgremium Covid-Pandemie,1,,,,,,,,,,,,
PRS eV,Pro RegioStadtbahn e.V.,Pro RegioStadtbahn e.V.,1,,,,,,,,,,,,
RpA,Rechnungspruefungsausschuss,Rechnungspruefungsausschuss,1,,,,,,,,,,,,
RvHB,Regionalverband Hochrhein-Bodensee,Regionalverband Hochrhein-Bodensee,1,,,,,,,,,,,,
RMS,Reinhold-Maier-Stiftung,Reinhold-Maier-Stiftung,1,,,,,,,,,,,,
RPLGrue,RPLGrue,Rheinland-Pfaelzischen Landesgruppe der Gruenen Bundestagsabgeordneten,1,,,,,,,,,,,,
RA,Richterwahlausschuss,Richterwahlausschuss,1,,,,,,,,,,,,
SB,Schwarzwaelder Bote,Schwarzwaelder Bote,1,,,,,,,,,,,,
SPDKv Wald,SPD-Kreisverband Waldshut,SPD-Kreisverband Waldshut,1,,,,,,,,,,,,
StAC,St Antony's College,St Antony's College,1,,,,,,,,,,,,
SWoerth,SWoerth,Stadtrat Woerth am Rhein,1,,,,,,,,,,,,
STARTS,STARTS,START-Stiftung gemeinnuetzige GmbH,1,,,,,,,,,,,,
SGF,SGF,Stiftung Gedenken und Frieden,1,,,,,,,,,,,,
SNV e.V.,SNV e.V.,Stiftung Neue Verantwortung e.V.,1,,,,,,,,,,,,
SV e.V.,SV e.V.,Stiftung Verantwortungseigentum e.V.,1,,,,,,,,,,,,
SBE,SBE,Stiftung Bildung E?itim,1,,,,,,,,,,,,
SWR,SWR,SWR,1,,,,,,,,,,,,
TBCG GmbH,TBCG GmbH,The Boston Consulting Group GmbH,1,,,,,,,,,,,,
THS,THS,Theodor-Heuss-Stiftung,1,,,,,,,,,,,,
TDSAP eV,TDSAP eV,Tuerkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,,,,,,,,,,,,
TuWas eV,TuWas eV,TuWas fuer Europa e.V.,1,,,,,,,,,,,,
TuWas,TuWas,TuWas Stiftung fuer Gemeinsinn,1,,,,,,,,,,,,
UB GmbH,UB GmbH,Ullstein Buchverlage GmbH,1,,,,,,,,,,,,
UN CSW,UN CSW,UN Commission on the Status of Women,1,,,,,,,,,,,,
UNDFfW,UNDFfW,United Nations Development Fund for Women,1,,,,,,,,,,,,
Uni Heidel,Universitaet Heidelberg,Universitaet Heidelberg,1,,,,,,,,,,,,
